Algorithm,Restaurant,Scenario,TotalGroups,SeatedGroups,TotalCustomers,SeatedCustomers,PctSeated,TableUtil%,SeatUtil%,AvgWait,MaxWait,AvgQueueLen,MaxQueueLen,Throughput,FairnessIndex,VIPSeated%,NonVIPSeated%,SimEndTime,BySize_Seated,BySize_AvgWait,BySize_MaxWait,BySize_Fairness,ServiceLevel
Group-Size Based Queue,Medium Diner - Standard Layout,Light Traffic,16,16,45,45,100.0000,40.2083,33.3882,0.0000,0.0000,0.3333,1,0.1270,0.0000,100.0000,100.0000,126,Size 1: 100.00%; Size 2: 100.00%; Size 3: 100.00%; Size 4: 100.00%; Size 5: 100.00%; Size 6: 100.00%,Size 1: 0.00min; Size 2: 0.00min; Size 3: 0.00min; Size 4: 0.00min; Size 5: 0.00min; Size 6: 0.00min,Size 1: 0.00min; Size 2: 0.00min; Size 3: 0.00min; Size 4: 0.00min; Size 5: 0.00min; Size 6: 0.00min,Size 1: 0.00; Size 2: 0.00; Size 3: 0.00; Size 4: 0.00; Size 5: 1.00; Size 6: 1.00,<=30min: 100.0%; <=60min: 100.0%; <=90min: 100.0%; <=120min: 100.0%; <=126min: 100.0%
Group-Size Based Queue,Medium Diner - Standard Layout,Peak Hours,24,24,72,72,100.0000,74.3056,66.0453,17.7500,50.0000,4.0139,11,0.1600,0.5180,100.0000,100.0000,150,Size 1: 100.00%; Size 2: 100.00%; Size 3: 100.00%; Size 4: 100.00%; Size 5: 100.00%; Size 6: 100.00%,Size 1: 24.25min; Size 2: 22.57min; Size 3: 10.25min; Size 4: 9.00min; Size 5: 17.50min; Size 6: 25.00min,Size 1: 43.00min; Size 2: 47.00min; Size 3: 24.00min; Size 4: 25.00min; Size 5: 35.00min; Size 6: 50.00min,Size 1: 0.70; Size 2: 0.63; Size 3: 0.49; Size 4: 0.40; Size 5: 0.50; Size 6: 0.50,<=30min: 70.8%; <=60min: 100.0%; <=90min: 100.0%; <=120min: 100.0%; <=150min: 100.0%
Group-Size Based Queue,Medium Diner - Standard Layout,Mixed VIP Flow,20,20,63,63,100.0000,66.5000,58.8158,7.5500,32.0000,1.9000,6,0.1587,0.3632,100.0000,100.0000,126,Size 1: 100.00%; Size 2: 100.00%; Size 3: 100.00%; Size 4: 100.00%; Size 5: 100.00%; Size 6: 100.00%,Size 1: 14.50min; Size 2: 8.14min; Size 3: 2.67min; Size 4: 1.25min; Size 5: 10.00min; Size 6: 16.00min,Size 1: 23.00min; Size 2: 24.00min; Size 3: 8.00min; Size 4: 5.00min; Size 5: 20.00min; Size 6: 32.00min,Size 1: 0.74; Size 2: 0.44; Size 3: 0.33; Size 4: 0.25; Size 5: 0.50; Size 6: 0.50,<=30min: 95.0%; <=60min: 100.0%; <=90min: 100.0%; <=120min: 100.0%; <=126min: 100.0%
Group-Size Based Queue,Medium Diner - Standard Layout,Distributed Arrivals with Mixed Sizes and VIPs,24,24,58,58,100.0000,59.8551,43.4783,33.5833,112.0000,5.6377,12,0.1519,0.4664,100.0000,100.0000,158,Size 1: 100.00%; Size 2: 100.00%; Size 3: 100.00%; Size 4: 100.00%; Size 6: 100.00%,Size 1: 44.56min; Size 2: 64.60min; Size 3: 12.33min; Size 4: 7.50min; Size 6: 0.00min,Size 1: 112.00min; Size 2: 95.00min; Size 3: 25.00min; Size 4: 25.00min; Size 6: 0.00min,Size 1: 0.57; Size 2: 0.84; Size 3: 0.59; Size 4: 0.33; Size 6: 1.00,<=30min: 58.3%; <=60min: 70.8%; <=90min: 87.5%; <=120min: 100.0%; <=150min: 100.0%; <=158min: 100.0%
Group-Size Based Queue,Medium Diner - Standard Layout,Many 1 Person Groups Preferring 4-Person Tables,24,21,55,50,87.5000,55.0794,37.8446,35.8095,125.0000,6.8413,12,0.1419,0.3846,83.3333,88.8889,148,Size 1: 90.91%; Size 2: 50.00%; Size 3: 100.00%; Size 4: 100.00%; Size 6: 100.00%,Size 1: 51.20min; Size 2: 107.50min; Size 3: 0.00min; Size 4: 4.17min; Size 6: 0.00min,Size 1: 125.00min; Size 2: 121.00min; Size 3: 0.00min; Size 4: 25.00min; Size 6: 0.00min,Size 1: 0.57; Size 2: 0.98; Size 3: 0.00; Size 4: 0.17; Size 6: 1.00,<=30min: 57.1%; <=60min: 71.4%; <=90min: 81.0%; <=120min: 90.5%; <=148min: 100.0%
Group-Size Based Queue,Family Restaurant,Light Traffic,16,16,45,45,100.0000,30.7329,23.0174,25.6250,105.0000,2.6383,5,0.0860,0.3496,100.0000,100.0000,186,Size 1: 100.00%; Size 2: 100.00%; Size 3: 100.00%; Size 4: 100.00%; Size 5: 100.00%; Size 6: 100.00%,Size 1: 58.33min; Size 2: 47.00min; Size 3: 0.00min; Size 4: 0.00min; Size 5: 0.00min; Size 6: 0.00min,Size 1: 95.00min; Size 2: 105.00min; Size 3: 0.00min; Size 4: 0.00min; Size 5: 0.00min; Size 6: 0.00min,Size 1: 0.81; Size 2: 0.64; Size 3: 0.00; Size 4: 0.00; Size 5: 1.00; Size 6: 1.00,<=30min: 68.8%; <=60min: 81.3%; <=90min: 87.5%; <=120min: 100.0%; <=150min: 100.0%; <=180min: 100.0%; <=186min: 100.0%
Group-Size Based Queue,Family Restaurant,Peak Hours,24,18,72,63,75.0000,61.3936,48.4977,27.0000,112.0000,7.6102,15,0.1233,0.4142,83.3333,72.2222,146,Size 1: 25.00%; Size 2: 57.14%; Size 3: 100.00%; Size 4: 100.00%; Size 5: 100.00%; Size 6: 100.00%,Size 1: 37.00min; Size 2: 64.50min; Size 3: 14.50min; Size 4: 20.80min; Size 5: 0.00min; Size 6: 14.50min,Size 1: 37.00min; Size 2: 112.00min; Size 3: 32.00min; Size 4: 53.00min; Size 5: 0.00min; Size 6: 29.00min,Size 1: 1.00; Size 2: 0.70; Size 3: 0.49; Size 4: 0.52; Size 5: 0.00; Size 6: 0.50,<=30min: 66.7%; <=60min: 88.9%; <=90min: 94.4%; <=120min: 100.0%; <=146min: 100.0%
Group-Size Based Queue,Family Restaurant,Mixed VIP Flow,20,17,63,58,85.0000,54.0881,43.9108,25.2353,115.0000,5.2075,10,0.1164,0.3198,83.3333,85.7143,146,Size 1: 50.00%; Size 2: 71.43%; Size 3: 100.00%; Size 4: 100.00%; Size 5: 100.00%; Size 6: 100.00%,Size 1: 100.00min; Size 2: 55.40min; Size 3: 3.33min; Size 4: 5.50min; Size 5: 10.00min; Size 6: 0.00min,Size 1: 100.00min; Size 2: 115.00min; Size 3: 10.00min; Size 4: 16.00min; Size 5: 20.00min; Size 6: 0.00min,Size 1: 1.00; Size 2: 0.67; Size 3: 0.33; Size 4: 0.41; Size 5: 0.50; Size 6: 0.00,<=30min: 76.5%; <=60min: 82.4%; <=90min: 88.2%; <=120min: 100.0%; <=146min: 100.0%
Group-Size Based Queue,Family Restaurant,Distributed Arrivals with Mixed Sizes and VIPs,24,15,58,45,62.5000,44.6541,30.4460,33.2000,137.0000,9.6226,16,0.1027,0.4123,66.6667,61.1111,146,Size 1: 44.44%; Size 2: 20.00%; Size 3: 100.00%; Size 4: 100.00%; Size 6: 100.00%,Size 1: 58.75min; Size 2: 103.00min; Size 3: 23.67min; Size 4: 14.83min; Size 6: 0.00min,Size 1: 137.00min; Size 2: 103.00min; Size 3: 45.00min; Size 4: 42.00min; Size 6: 0.00min,Size 1: 0.58; Size 2: 1.00; Size 3: 0.62; Size 4: 0.44; Size 6: 1.00,<=30min: 53.3%; <=60min: 86.7%; <=90min: 86.7%; <=120min: 93.3%; <=146min: 100.0%
Group-Size Based Queue,Family Restaurant,Many 1 Person Groups Preferring 4-Person Tables,24,13,55,40,54.1667,40.5896,27.5046,24.6154,128.0000,9.7347,15,0.0956,0.2908,50.0000,55.5556,136,Size 1: 36.36%; Size 2: 0.00%; Size 3: 100.00%; Size 4: 100.00%; Size 6: 100.00%,Size 1: 62.75min; Size 2: N/A; Size 3: 14.50min; Size 4: 6.67min; Size 6: 0.00min,Size 1: 128.00min; Size 2: N/A; Size 3: 29.00min; Size 4: 34.00min; Size 6: 0.00min,Size 1: 0.63; Size 2: N/A; Size 3: 0.50; Size 4: 0.22; Size 6: 1.00,<=30min: 69.2%; <=60min: 84.6%; <=90min: 92.3%; <=120min: 92.3%; <=136min: 100.0%
Group-Size Based Queue,Dim Sum Hall,Light Traffic,16,16,45,45,100.0000,30.5556,17.2619,1.5625,10.0000,0.6667,2,0.1270,0.1736,100.0000,100.0000,126,Size 1: 100.00%; Size 2: 100.00%; Size 3: 100.00%; Size 4: 100.00%; Size 5: 100.00%; Size 6: 100.00%,Size 1: 0.00min; Size 2: 5.00min; Size 3: 0.00min; Size 4: 0.00min; Size 5: 0.00min; Size 6: 0.00min,Size 1: 0.00min; Size 2: 10.00min; Size 3: 0.00min; Size 4: 0.00min; Size 5: 0.00min; Size 6: 0.00min,Size 1: 0.00; Size 2: 0.56; Size 3: 0.00; Size 4: 0.00; Size 5: 1.00; Size 6: 1.00,<=30min: 100.0%; <=60min: 100.0%; <=90min: 100.0%; <=120min: 100.0%; <=126min: 100.0%
Group-Size Based Queue,Dim Sum Hall,Peak Hours,24,24,72,72,100.0000,47.2619,29.2653,36.7917,105.0000,5.9429,14,0.1509,0.5647,100.0000,100.0000,159,Size 1: 100.00%; Size 2: 100.00%; Size 3: 100.00%; Size 4: 100.00%; Size 5: 100.00%; Size 6: 100.00%,Size 1: 55.75min; Size 2: 46.71min; Size 3: 34.50min; Size 4: 33.20min; Size 5: 0.00min; Size 6: 14.50min,Size 1: 105.00min; Size 2: 84.00min; Size 3: 59.00min; Size 4: 78.00min; Size 5: 0.00min; Size 6: 29.00min,Size 1: 0.69; Size 2: 0.71; Size 3: 0.72; Size 4: 0.53; Size 5: 0.00; Size 6: 0.50,<=30min: 50.0%; <=60min: 75.0%; <=90min: 95.8%; <=120min: 100.0%; <=150min: 100.0%; <=159min: 100.0%
Group-Size Based Queue,Dim Sum Hall,Mixed VIP Flow,20,20,63,63,100.0000,45.2778,28.2619,19.6500,64.0000,3.5833,9,0.1370,0.4763,100.0000,100.0000,146,Size 1: 100.00%; Size 2: 100.00%; Size 3: 100.00%; Size 4: 100.00%; Size 5: 100.00%; Size 6: 100.00%,Size 1: 49.50min; Size 2: 26.71min; Size 3: 10.33min; Size 4: 14.00min; Size 5: 10.00min; Size 6: 0.00min,Size 1: 64.00min; Size 2: 62.00min; Size 3: 20.00min; Size 4: 38.00min; Size 5: 20.00min; Size 6: 0.00min,Size 1: 0.92; Size 2: 0.61; Size 3: 0.61; Size 4: 0.44; Size 5: 0.50; Size 6: 0.00,<=30min: 70.0%; <=60min: 90.0%; <=90min: 100.0%; <=120min: 100.0%; <=146min: 100.0%
Group-Size Based Queue,Dim Sum Hall,Distributed Arrivals with Mixed Sizes and VIPs,24,20,58,52,83.3333,36.7486,17.8689,46.7500,126.0000,8.2623,15,0.1299,0.5499,83.3333,83.3333,154,Size 1: 77.78%; Size 2: 60.00%; Size 3: 100.00%; Size 4: 100.00%; Size 6: 100.00%,Size 1: 54.57min; Size 2: 85.33min; Size 3: 35.67min; Size 4: 31.67min; Size 6: 0.00min,Size 1: 124.00min; Size 2: 126.00min; Size 3: 70.00min; Size 4: 71.00min; Size 6: 0.00min,Size 1: 0.58; Size 2: 0.83; Size 3: 0.61; Size 4: 0.56; Size 6: 1.00,<=30min: 45.0%; <=60min: 60.0%; <=90min: 80.0%; <=120min: 90.0%; <=150min: 100.0%; <=154min: 100.0%
Group-Size Based Queue,Dim Sum Hall,Many 1 Person Groups Preferring 4-Person Tables,24,17,55,44,70.8333,35.2679,17.0153,37.3529,132.0000,8.8393,15,0.1141,0.4336,66.6667,72.2222,149,Size 1: 72.73%; Size 2: 0.00%; Size 3: 100.00%; Size 4: 100.00%; Size 6: 100.00%,Size 1: 61.75min; Size 2: N/A; Size 3: 20.00min; Size 4: 16.83min; Size 6: 0.00min,Size 1: 132.00min; Size 2: N/A; Size 3: 39.00min; Size 4: 56.00min; Size 6: 0.00min,Size 1: 0.63; Size 2: N/A; Size 3: 0.53; Size 4: 0.38; Size 6: 1.00,<=30min: 47.1%; <=60min: 76.5%; <=90min: 88.2%; <=120min: 88.2%; <=149min: 100.0%
Group-Size Based Queue,Large Banquet Hall,Light Traffic,16,8,45,32,50.0000,16.5865,9.3431,0.0000,0.0000,5.7188,9,0.0635,0.0000,75.0000,41.6667,126,Size 1: 0.00%; Size 2: 0.00%; Size 3: 100.00%; Size 4: 100.00%; Size 5: 100.00%; Size 6: 100.00%,Size 1: N/A; Size 2: N/A; Size 3: 0.00min; Size 4: 0.00min; Size 5: 0.00min; Size 6: 0.00min,Size 1: N/A; Size 2: N/A; Size 3: 0.00min; Size 4: 0.00min; Size 5: 0.00min; Size 6: 0.00min,Size 1: N/A; Size 2: N/A; Size 3: 0.00; Size 4: 0.00; Size 5: 1.00; Size 6: 1.00,<=30min: 100.0%; <=60min: 100.0%; <=90min: 100.0%; <=120min: 100.0%; <=126min: 100.0%
Group-Size Based Queue,Large Banquet Hall,Peak Hours,24,13,72,54,54.1667,31.5542,18.2007,25.6154,78.0000,9.9388,18,0.0909,0.4784,66.6667,50.0000,143,Size 1: 0.00%; Size 2: 0.00%; Size 3: 100.00%; Size 4: 100.00%; Size 5: 100.00%; Size 6: 100.00%,Size 1: N/A; Size 2: N/A; Size 3: 34.50min; Size 4: 33.20min; Size 5: 0.00min; Size 6: 14.50min,Size 1: N/A; Size 2: N/A; Size 3: 59.00min; Size 4: 78.00min; Size 5: 0.00min; Size 6: 29.00min,Size 1: N/A; Size 2: N/A; Size 3: 0.72; Size 4: 0.53; Size 5: 0.00; Size 6: 0.50,<=30min: 61.5%; <=60min: 92.3%; <=90min: 100.0%; <=120min: 100.0%; <=143min: 100.0%
Group-Size Based Queue,Large Banquet Hall,Mixed VIP Flow,20,11,63,47,55.0000,29.1209,17.2741,9.7273,38.0000,7.7857,13,0.0821,0.3871,50.0000,57.1429,134,Size 1: 0.00%; Size 2: 0.00%; Size 3: 100.00%; Size 4: 100.00%; Size 5: 100.00%; Size 6: 100.00%,Size 1: N/A; Size 2: N/A; Size 3: 10.33min; Size 4: 14.00min; Size 5: 10.00min; Size 6: 0.00min,Size 1: N/A; Size 2: N/A; Size 3: 20.00min; Size 4: 38.00min; Size 5: 20.00min; Size 6: 0.00min,Size 1: N/A; Size 2: N/A; Size 3: 0.61; Size 4: 0.44; Size 5: 0.50; Size 6: 0.00,<=30min: 90.9%; <=60min: 100.0%; <=90min: 100.0%; <=120min: 100.0%; <=134min: 100.0%
Group-Size Based Queue,Large Banquet Hall,Distributed Arrivals with Mixed Sizes and VIPs,24,10,58,39,41.6667,19.8569,10.4177,29.7000,71.0000,11.8140,19,0.0649,0.5185,33.3333,44.4444,154,Size 1: 0.00%; Size 2: 0.00%; Size 3: 100.00%; Size 4: 100.00%; Size 6: 100.00%,Size 1: N/A; Size 2: N/A; Size 3: 35.67min; Size 4: 31.67min; Size 6: 0.00min,Size 1: N/A; Size 2: N/A; Size 3: 70.00min; Size 4: 71.00min; Size 6: 0.00min,Size 1: N/A; Size 2: N/A; Size 3: 0.61; Size 4: 0.56; Size 6: 1.00,<=30min: 60.0%; <=60min: 70.0%; <=90min: 100.0%; <=120min: 100.0%; <=150min: 100.0%; <=154min: 100.0%
Group-Size Based Queue,Large Banquet Hall,Many 1 Person Groups Preferring 4-Person Tables,24,9,55,36,37.5000,18.4982,10.0097,15.6667,56.0000,11.4048,18,0.0604,0.3692,33.3333,38.8889,149,Size 1: 0.00%; Size 2: 0.00%; Size 3: 100.00%; Size 4: 100.00%; Size 6: 100.00%,Size 1: N/A; Size 2: N/A; Size 3: 20.00min; Size 4: 16.83min; Size 6: 0.00min,Size 1: N/A; Size 2: N/A; Size 3: 39.00min; Size 4: 56.00min; Size 6: 0.00min,Size 1: N/A; Size 2: N/A; Size 3: 0.53; Size 4: 0.38; Size 6: 1.00,<=30min: 66.7%; <=60min: 100.0%; <=90min: 100.0%; <=120min: 100.0%; <=149min: 100.0%
Group-Size Based Queue,Small-Table Heavy Layout,Light Traffic,16,14,45,34,87.5000,37.2159,37.6136,1.7857,20.0000,1.5455,4,0.0959,0.1050,75.0000,91.6667,146,Size 1: 100.00%; Size 2: 100.00%; Size 3: 100.00%; Size 4: 100.00%; Size 5: 0.00%; Size 6: 0.00%,Size 1: 0.00min; Size 2: 0.00min; Size 3: 1.67min; Size 4: 6.67min; Size 5: N/A; Size 6: N/A,Size 1: 0.00min; Size 2: 0.00min; Size 3: 5.00min; Size 4: 20.00min; Size 5: N/A; Size 6: N/A,Size 1: 0.00; Size 2: 0.00; Size 3: 0.33; Size 4: 0.33; Size 5: N/A; Size 6: N/A,<=30min: 100.0%; <=60min: 100.0%; <=90min: 100.0%; <=120min: 100.0%; <=146min: 100.0%
Group-Size Based Queue,Small-Table Heavy Layout,Peak Hours,24,18,72,43,75.0000,67.4569,62.9310,19.7778,105.0000,6.8103,13,0.1304,0.2699,83.3333,72.2222,138,Size 1: 100.00%; Size 2: 100.00%; Size 3: 75.00%; Size 4: 80.00%; Size 5: 0.00%; Size 6: 0.00%,Size 1: 2.50min; Size 2: 1.43min; Size 3: 40.33min; Size 4: 53.75min; Size 5: N/A; Size 6: N/A,Size 1: 10.00min; Size 2: 4.00min; Size 3: 84.00min; Size 4: 105.00min; Size 5: N/A; Size 6: N/A,Size 1: 0.25; Size 2: 0.40; Size 3: 0.58; Size 4: 0.66; Size 5: N/A; Size 6: N/A,<=30min: 72.2%; <=60min: 83.3%; <=90min: 94.4%; <=120min: 100.0%; <=138min: 100.0%
Group-Size Based Queue,Small-Table Heavy Layout,Mixed VIP Flow,20,16,63,41,80.0000,55.1471,55.5882,15.8750,85.0000,4.6471,9,0.1212,0.2700,83.3333,78.5714,132,Size 1: 100.00%; Size 2: 100.00%; Size 3: 100.00%; Size 4: 100.00%; Size 5: 0.00%; Size 6: 0.00%,Size 1: 0.00min; Size 2: 0.00min; Size 3: 38.33min; Size 4: 34.75min; Size 5: N/A; Size 6: N/A,Size 1: 0.00min; Size 2: 0.00min; Size 3: 50.00min; Size 4: 85.00min; Size 5: N/A; Size 6: N/A,Size 1: 0.00; Size 2: 0.00; Size 3: 0.92; Size 4: 0.48; Size 5: N/A; Size 6: N/A,<=30min: 75.0%; <=60min: 93.8%; <=90min: 100.0%; <=120min: 100.0%; <=132min: 100.0%
Group-Size Based Queue,Small-Table Heavy Layout,Distributed Arrivals with Mixed Sizes and VIPs,24,21,58,45,87.5000,73.8281,58.1250,24.1905,97.0000,6.2031,13,0.1641,0.4114,83.3333,88.8889,128,Size 1: 100.00%; Size 2: 100.00%; Size 3: 66.67%; Size 4: 83.33%; Size 6: 0.00%,Size 1: 10.00min; Size 2: 14.60min; Size 3: 48.50min; Size 4: 49.60min; Size 6: N/A,Size 1: 25.00min; Size 2: 24.00min; Size 3: 97.00min; Size 4: 95.00min; Size 6: N/A,Size 1: 0.44; Size 2: 0.73; Size 3: 0.50; Size 4: 0.73; Size 6: N/A,<=30min: 76.2%; <=60min: 90.5%; <=90min: 90.5%; <=120min: 100.0%; <=128min: 100.0%
Group-Size Based Queue,Small-Table Heavy Layout,Many 1 Person Groups Preferring 4-Person Tables,24,23,55,49,95.8333,75.5515,56.3235,26.4783,90.0000,5.5588,12,0.1729,0.4959,83.3333,100.0000,133,Size 1: 100.00%; Size 2: 100.00%; Size 3: 100.00%; Size 4: 100.00%; Size 6: 0.00%,Size 1: 14.82min; Size 2: 37.25min; Size 3: 51.00min; Size 4: 32.50min; Size 6: N/A,Size 1: 40.00min; Size 2: 42.00min; Size 3: 90.00min; Size 4: 90.00min; Size 6: N/A,Size 1: 0.44; Size 2: 0.99; Size 3: 0.63; Size 4: 0.48; Size 6: N/A,<=30min: 52.2%; <=60min: 91.3%; <=90min: 100.0%; <=120min: 100.0%; <=133min: 100.0%
Priority Queue (VIP First),Compact Cafe,Light Traffic,16,14,45,34,87.5000,49.6212,47.0170,1.7857,20.0000,71.1364,516,0.0959,0.1050,75.0000,91.6667,146,Size 1: 100.00%; Size 2: 100.00%; Size 3: 100.00%; Size 4: 100.00%; Size 5: 0.00%; Size 6: 0.00%,Size 1: 0.00min; Size 2: 0.00min; Size 3: 1.67min; Size 4: 6.67min; Size 5: N/A; Size 6: N/A,Size 1: 0.00min; Size 2: 0.00min; Size 3: 5.00min; Size 4: 20.00min; Size 5: N/A; Size 6: N/A,Size 1: 0.00; Size 2: 0.00; Size 3: 0.33; Size 4: 0.33; Size 5: N/A; Size 6: N/A,<=30min: 100.0%; <=60min: 100.0%; <=90min: 100.0%; <=120min: 100.0%; <=146min: 100.0%
Priority Queue (VIP First),Compact Cafe,Peak Hours,24,14,72,29,58.3333,73.0556,69.6875,19.0000,130.0000,133.2167,528,0.0993,0.2491,66.6667,55.5556,141,Size 1: 100.00%; Size 2: 100.00%; Size 3: 25.00%; Size 4: 40.00%; Size 5: 0.00%; Size 6: 0.00%,Size 1: 20.25min; Size 2: 7.86min; Size 3: 0.00min; Size 4: 65.00min; Size 5: N/A; Size 6: N/A,Size 1: 32.00min; Size 2: 27.00min; Size 3: 0.00min; Size 4: 130.00min; Size 5: N/A; Size 6: N/A,Size 1: 0.73; Size 2: 0.37; Size 3: 1.00; Size 4: 0.50; Size 5: N/A; Size 6: N/A,<=30min: 85.7%; <=60min: 92.9%; <=90min: 92.9%; <=120min: 92.9%; <=141min: 100.0%
Priority Queue (VIP First),Compact Cafe,Mixed VIP Flow,20,12,63,27,60.0000,67.9487,64.7837,11.6667,123.0000,24.7692,157,0.0909,0.1071,83.3333,50.0000,132,Size 1: 100.00%; Size 2: 100.00%; Size 3: 33.33%; Size 4: 50.00%; Size 5: 0.00%; Size 6: 0.00%,Size 1: 7.50min; Size 2: 0.29min; Size 3: 123.00min; Size 4: 0.00min; Size 5: N/A; Size 6: N/A,Size 1: 9.00min; Size 2: 2.00min; Size 3: 123.00min; Size 4: 0.00min; Size 5: N/A; Size 6: N/A,Size 1: 0.96; Size 2: 0.14; Size 3: 1.00; Size 4: 0.00; Size 5: N/A; Size 6: N/A,<=30min: 91.7%; <=60min: 91.7%; <=90min: 91.7%; <=120min: 91.7%; <=132min: 100.0%
Priority Queue (VIP First),Compact Cafe,Distributed Arrivals with Mixed Sizes and VIPs,24,16,58,26,66.6667,78.1250,54.8828,25.0625,117.0000,176.5000,838,0.1111,0.4027,83.3333,61.1111,144,Size 1: 100.00%; Size 2: 100.00%; Size 3: 33.33%; Size 4: 16.67%; Size 6: 0.00%,Size 1: 21.22min; Size 2: 18.60min; Size 3: 117.00min; Size 4: 0.00min; Size 6: N/A,Size 1: 47.00min; Size 2: 46.00min; Size 3: 117.00min; Size 4: 0.00min; Size 6: N/A,Size 1: 0.53; Size 2: 0.48; Size 3: 1.00; Size 4: 1.00; Size 6: N/A,<=30min: 62.5%; <=60min: 93.8%; <=90min: 93.8%; <=120min: 100.0%; <=144min: 100.0%
Priority Queue (VIP First),Compact Cafe,Many 1 Person Groups Preferring 4-Person Tables,24,17,55,26,70.8333,79.0404,47.8220,30.6471,126.0000,244.9242,1120,0.1111,0.4478,83.3333,66.6667,153,Size 1: 100.00%; Size 2: 100.00%; Size 3: 50.00%; Size 4: 16.67%; Size 6: 0.00%,Size 1: 24.27min; Size 2: 32.00min; Size 3: 126.00min; Size 4: 0.00min; Size 6: N/A,Size 1: 60.00min; Size 2: 63.00min; Size 3: 126.00min; Size 4: 0.00min; Size 6: N/A,Size 1: 0.51; Size 2: 0.57; Size 3: 1.00; Size 4: 1.00; Size 6: N/A,<=30min: 47.1%; <=60min: 88.2%; <=90min: 94.1%; <=120min: 94.1%; <=150min: 100.0%; <=153min: 100.0%
Priority Queue (VIP First),Small Bistro - Balanced Layout,Light Traffic,16,16,45,45,100.0000,59.5238,48.9796,6.2500,100.0000,1.2245,4,0.0909,0.0625,100.0000,100.0000,176,Size 1: 100.00%; Size 2: 100.00%; Size 3: 100.00%; Size 4: 100.00%; Size 5: 100.00%; Size 6: 100.00%,Size 1: 0.00min; Size 2: 0.00min; Size 3: 0.00min; Size 4: 0.00min; Size 5: 100.00min; Size 6: 0.00min,Size 1: 0.00min; Size 2: 0.00min; Size 3: 0.00min; Size 4: 0.00min; Size 5: 100.00min; Size 6: 0.00min,Size 1: 0.00; Size 2: 0.00; Size 3: 0.00; Size 4: 0.00; Size 5: 1.00; Size 6: 1.00,<=30min: 93.8%; <=60min: 93.8%; <=90min: 93.8%; <=120min: 100.0%; <=150min: 100.0%; <=176min: 100.0%
Priority Queue (VIP First),Small Bistro - Balanced Layout,Peak Hours,24,16,72,37,66.6667,83.0808,68.1818,36.9375,126.0000,50.7576,338,0.1046,0.4691,83.3333,61.1111,153,Size 1: 100.00%; Size 2: 100.00%; Size 3: 50.00%; Size 4: 40.00%; Size 5: 50.00%; Size 6: 0.00%,Size 1: 49.50min; Size 2: 30.57min; Size 3: 63.00min; Size 4: 26.50min; Size 5: 0.00min; Size 6: N/A,Size 1: 78.00min; Size 2: 84.00min; Size 3: 126.00min; Size 4: 53.00min; Size 5: 0.00min; Size 6: N/A,Size 1: 0.74; Size 2: 0.45; Size 3: 0.50; Size 4: 0.50; Size 5: 1.00; Size 6: N/A,<=30min: 50.0%; <=60min: 68.8%; <=90min: 93.8%; <=120min: 93.8%; <=150min: 100.0%; <=153min: 100.0%
